epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1891,1.86952,3.25278,1.84442,0.63994,0.61872,0.68401,0.31394,1.63048,2.80951,1.6366,0.00332278,0.00332278,0.00332278
2,143.206,1.75392,2.40024,1.69753,0.66401,0.46075,0.56491,0.25552,1.77576,2.05558,1.88675,0.00663415,0.00663415,0.00663415
3,209.759,1.8634,2.27812,1.79634,0.53383,0.426,0.44255,0.18854,1.93477,2.0634,1.98353,0.00992352,0.00992352,0.00992352
4,275.811,1.92629,2.26949,1.89733,0.46857,0.3959,0.39328,0.17671,2.00097,2.29137,2.16728,0.009901,0.009901,0.009901
5,342.111,1.89493,2.13909,1.88517,0.57907,0.51195,0.52195,0.22667,1.8887,2.08343,1.91508,0.009868,0.009868,0.009868
6,408.652,1.85072,1.99826,1.8332,0.79556,0.58362,0.69313,0.34799,1.75015,1.51479,1.86735,0.009835,0.009835,0.009835
7,474.94,1.83165,1.89628,1.80284,0.72348,0.72355,0.77352,0.39031,1.65479,1.47632,1.72942,0.009802,0.009802,0.009802
8,541.129,1.77618,1.80921,1.76387,0.76998,0.66894,0.74453,0.38002,1.61794,1.44085,1.72855,0.009769,0.009769,0.009769
9,607.158,1.74875,1.74575,1.75187,0.78864,0.6587,0.78513,0.41729,1.62149,1.24922,1.70856,0.009736,0.009736,0.009736
10,673.379,1.73441,1.67131,1.73802,0.80883,0.68259,0.80342,0.4186,1.61924,1.19879,1.73634,0.009703,0.009703,0.009703
11,739.437,1.70843,1.62531,1.71471,0.77602,0.77474,0.83255,0.44737,1.61557,1.16924,1.72272,0.00967,0.00967,0.00967
12,805.426,1.66845,1.55207,1.69761,0.82705,0.76709,0.85987,0.47067,1.54858,1.07141,1.62792,0.009637,0.009637,0.009637
13,872.055,1.66318,1.53637,1.67847,0.79222,0.77474,0.83819,0.45244,1.56381,1.0674,1.68898,0.009604,0.009604,0.009604
14,938.154,1.65922,1.50616,1.67031,0.82479,0.81939,0.89419,0.5018,1.53487,0.97978,1.63979,0.009571,0.009571,0.009571
15,1004.35,1.63897,1.46656,1.64291,0.86372,0.81911,0.88999,0.49141,1.49527,0.99775,1.61935,0.009538,0.009538,0.009538
16,1070.53,1.62557,1.44846,1.652,0.88124,0.75975,0.88155,0.4968,1.49593,0.95785,1.6163,0.009505,0.009505,0.009505
17,1136.8,1.60804,1.37976,1.62038,0.8959,0.81911,0.90155,0.49971,1.55061,0.91894,1.66345,0.009472,0.009472,0.009472
18,1203.06,1.60232,1.36474,1.62805,0.90877,0.84998,0.92312,0.53859,1.45119,0.85782,1.58135,0.009439,0.009439,0.009439
